student_answer,score
Mitocondria regulates the making of protiensthe endoplasmic reticulum makes the protienthe golgie bodys pack it up and the cell uses it,0.0
"light gray ::  The color of the doghouse would keep it the right temperature, not to cold and not to warm.",1.0
One trait that describes Rose would have to be that she hard working. She works for what her family needs so that there lives can become better.,1.0
ENZYME,0.0
"Based on the data table each trail for each type of plastic was fairly similar. Also from the table it is clear to see that plastic is was the most flexible as it stretched 22mm in the first trial and 23mm in the second trial. Plastic A was  the least flexible.The first trial stretched 10mm in length and in the second trial 12mm.Therefore out of all the plastics, plastic B had the greatest stretchability. However, one way the results could have been improved is by measuring the length (mm) of the plastic when they break or even after a longer period of time.This will show the true stretchability of each plastic. Another improvement could be naming types of plastic that were being future trial can be done and the best plastic could be put to good use.",1.5
Rose feels helpless in her situation to help pay for her brother's college. This is shown in her dream when she is drowning from the weight of her brother.,0.0
"Paul realizes that Mr. Leomard is very talented, but now is a hall monitor.  Paul is greatful that Mr. Leomard helped him train, but feels guilty he is getting all the attention.  Paul wants to help him learn and get better too so at the end Paul tells him that 'it's time for you to start training.'  Paul is now going to teach Mr. Leonard to read in return for him to teach Paul to hurdle.",1.5
"white ::  They should make the dog house with a white r oof because that will keep the inside of the dog house cool, instead of e xtremely hot. In their experiment the average for a white lid was 42(DEG) C, as apposed to the black lid which had an average of 53(DEG)C. It would be a lot smarter to keep the inside of the doghouse cool by using white paint so the dog has some where to cool off, instead of using black paint so i t is very hot in the dog house and the dog will not want to be inside of the dog house at all.",2.0
white ::  white paint color because that way the dog wo nt be hot instead it would be cool,1.0
You need a mearing cup the mearer the mass of energy. Then we get plastic of starting mass.,0.0
dark gray ::,0.0
She is respectful because she didn't want to hurt her aunt.,0.0
"Pandas in China are similar to koalas in Australia because they are both specialist animals. They are different from pythons because pythons are generalist animals. A specialist like a panda eats almost nothing but bamboo ( Achabach 5) can only live in limited places. But, "" What favors a generalist is change ( Achenbach, 5) Dothay live anywhere.",1.0
white :: If the dog house was white the inside would b e cooler because in the data of the experiment the average temperature of white is 42(DEG)c and blacks average is 53(DEG)c,2.0
"The author organizes this article by giving us some information about space junk.  What is Space Junk?  Then the author gives some information about how dangerous space junk can be. Crash Course.  Finally, the author gives us information about it dosen't matter what the size is, it's the speed that does the damage.  Little Bits, But a Big Deal.",2.0
"light gray :: The color of light gray might affect the dog house by keeping it the right temprature (not too cold or too hot) becaus e the darker the color the hotter it gets and the lighter the color the c ooler it gets, according too the data in which i got the information.",2.0
"The word ""invasive"" means that animals that constently invade someone's home or yard.",0.0
1.) Exocytosis: A process by which materials are moved out of a cell.2.) Endocytosis: A process by which materials are moved into a cell.3.) Solute pump: Where materials are moved into or out of a cell by a two way pump that runs off of an enzyme. It is a passive transport and an example is a sodium-potassium pump.,0.0
